image_id,image_path,writer_id
0,hwi_test/1-IMG_MAX_9964.jpg,T0001
1,hwi_test/1-IMG_MAX_9982.jpg,T0001
2,hwi_test/1-IMG_MAX_10002.jpg,T0001
5,hwi_test/2-IMG_MAX_999749.jpg,T0002
6,hwi_test/2-IMG_MAX_1000005.jpg,T0002
7,hwi_test/2-IMG_MAX_1000257.jpg,T0002
10,hwi_test/3-IMG_MAX_1000043.jpg,T0003
11,hwi_test/3-IMG_MAX_1052159.jpg,T0003
12,hwi_test/3-IMG_MAX_1079027.jpg,T0003
15,hwi_test/5-IMG_MAX_936153.jpg,T0005
16,hwi_test/5-IMG_MAX_950442.jpg,T0005
17,hwi_test/5-IMG_MAX_998376.jpg,T0005
20,hwi_test/6-IMG_MAX_10031.jpg,T0006
21,hwi_test/6-IMG_MAX_1005569.jpg,T0006
22,hwi_test/6-IMG_MAX_1005578.jpg,T0006
25,hwi_test/8-IMG_MAX_1005419.jpg,T0008
26,hwi_test/8-IMG_MAX_1005421.jpg,T0008
27,hwi_test/8-IMG_MAX_1005423.jpg,T0008
30,hwi_test/9-IMG_MAX_824986.jpg,T0009
31,hwi_test/9-IMG_MAX_989891.jpg,T0009
32,hwi_test/9-IMG_MAX_989915.jpg,T0009
35,hwi_test/12-IMG_MAX_1005500.jpg,T0012
36,hwi_test/12-IMG_MAX_1005501.jpg,T0012
37,hwi_test/12-IMG_MAX_1005502.jpg,T0012
40,hwi_test/13-IMG_MAX_957408.jpg,T0013
41,hwi_test/13-IMG_MAX_957426.jpg,T0013
42,hwi_test/13-IMG_MAX_957431.jpg,T0013
45,hwi_test/14-IMG_MAX_1005518.jpg,T0014
46,hwi_test/14-IMG_MAX_1005519.jpg,T0014
47,hwi_test/14-IMG_MAX_1005520.jpg,T0014
50,hwi_test/15-IMG_MAX_926571.jpg,T0015
51,hwi_test/15-IMG_MAX_926577.jpg,T0015
52,hwi_test/15-IMG_MAX_926584.jpg,T0015
55,hwi_test/18-IMG_MAX_1005544.jpg,T0018
56,hwi_test/18-IMG_MAX_1005545.jpg,T0018
57,hwi_test/18-IMG_MAX_1005546.jpg,T0018
60,hwi_test/19-IMG_MAX_925179.jpg,T0019
61,hwi_test/19-IMG_MAX_925290.jpg,T0019
62,hwi_test/19-IMG_MAX_991072.jpg,T0019
65,hwi_test/20-IMG_MAX_1005559.jpg,T0020
66,hwi_test/20-IMG_MAX_1088809.jpg,T0020
67,hwi_test/20-IMG_MAX_1088855.jpg,T0020
70,hwi_test/21-IMG_MAX_966323.jpg,T0021
71,hwi_test/21-IMG_MAX_966384.jpg,T0021
72,hwi_test/21-IMG_MAX_966392.jpg,T0021
75,hwi_test/24-IMG_MAX_916114.jpg,T0024
